Timestamp,ARIMA_Forecast,Hybrid_Forecast,Predicted_Residual,Anomaly
2018-02-28 03:02:00,54416631.26224462,70886388.6835281,16469757.421283484,True
2018-02-28 03:32:00,52619577.84907314,53644313.13318655,1024735.2841134071,False
2018-02-28 04:02:00,51583102.932755455,54405434.58213733,2822331.649381876,False
2018-02-28 04:32:00,51698520.94705027,55221223.02579993,3522702.0787496567,False
2018-02-28 05:02:00,52012048.26094072,55262840.58063524,3250792.319694519,False
2018-02-28 05:32:00,52283311.83650269,55617120.38639297,3333808.54989028,False
2018-02-28 06:02:00,52518008.86022796,55756580.51659407,3238571.65636611,False
2018-02-28 06:32:00,52721068.533209786,56102074.12767838,3381005.5944685936,False
2018-02-28 07:02:00,52896755.59620278,56277971.89176338,3381216.2955605984,False
2018-02-28 07:32:00,53048759.899419926,56475592.981369875,3426833.0819499493,False
2018-02-28 08:02:00,53180273.89824778,56624068.418093026,3443794.5198452473,False
2018-02-28 08:32:00,53294059.70247586,56746387.6165417,3452327.914065838,False
2018-02-28 09:02:00,53392507.0872351,56851682.78678668,3459175.6995515823,False
2018-02-28 09:32:00,53477683.68401431,56934647.022101395,3456963.338087082,False
2018-02-28 10:02:00,53551378.40588663,57007709.640697934,3456331.234811306,False
2018-02-28 10:32:00,53615139.018979855,57068099.03632123,3452960.0173413754,False
2018-02-28 11:02:00,53670304.64928196,57120946.954612955,3450642.3053309917,False
2018-02-28 11:32:00,53718033.90750253,57166674.55246079,3448640.6449582577,False
2018-02-28 12:02:00,53759329.22267994,57206494.95999512,3447165.737315178,False
2018-02-28 12:32:00,53795057.89559836,57241380.828545995,3446322.9329476357,False
2018-02-28 13:02:00,53825970.31418694,57271871.8449508,3445901.5307638645,False
2018-02-28 13:32:00,53852715.713468276,57298511.89368626,3445796.1802179813,False
2018-02-28 14:02:00,53875855.81105296,57321757.34181683,3445901.5307638645,False
2018-02-28 14:32:00,53895876.604558274,57341883.48586802,3446006.8813097477,False
2018-02-28 15:02:00,53913198.578725204,57359310.81058107,3446112.2318558693,False
2018-02-28 15:32:00,53928185.53660778,57374403.11900953,3446217.5824017525,False
2018-02-28 16:02:00,53941152.24031081,57387475.173258446,3446322.9329476357,False
2018-02-28 16:32:00,53952371.02174995,57398799.30524347,3446428.283493519,False
2018-02-28 17:02:00,53962077.50227589,57408505.78576941,3446428.283493519,False
2018-02-28 17:32:00,53970475.54128856,57416903.82478208,3446428.283493519,False
2018-02-28 18:02:00,53977741.517774045,57424169.801267564,3446428.283493519,False
2018-02-28 18:32:00,53984028.03468686,57430456.31818038,3446428.283493519,False
2018-02-28 19:02:00,53989467.12397845,57435895.40747197,3446428.283493519,False
2018-02-28 19:32:00,53994173.019585215,57440601.30307873,3446428.283493519,False
2018-02-28 20:02:00,53998244.5566155,57444672.84010902,3446428.283493519,False
2018-02-28 20:32:00,54001767.24712423,57448195.53061775,3446428.283493519,False
2018-02-28 21:02:00,54004815.076071374,57451243.35956489,3446428.283493519,False
2018-02-28 21:32:00,54007452.0551838,57453880.33867732,3446428.283493519,False
2018-02-28 22:02:00,54009733.56735523,57456161.85084875,3446428.283493519,False
2018-02-28 22:32:00,54011707.52982004,57458135.81331356,3446428.283493519,False
2018-02-28 23:02:00,54013415.4005302,57459843.684023716,3446428.283493519,False
2018-02-28 23:32:00,54014893.04887186,57461321.33236538,3446428.283493519,False
2018-03-01 00:02:00,54016171.50900858,57462599.7925021,3446428.283493519,False
2018-03-01 00:32:00,54017277.63167329,57463705.91516681,3446428.283493519,False
2018-03-01 01:02:00,54018234.64809816,57464662.93159168,3446428.283493519,False
2018-03-01 01:32:00,54019062.65792628,57465490.941419795,3446428.283493519,False
2018-03-01 02:02:00,54019779.051352374,57466207.33484589,3446428.283493519,False
2018-03-01 02:32:00,54020398.874358736,57466827.157852255,3446428.283493519,False
